Sector,Sub-Sector,Sub-Group,Scheme Status,Key Client,Project / Programme Name,Project or Programme,No of projects,Project Summary,ONS Region,Asset Ownership,Economically Regulated Asset,Funding Source,Start of Works / Construction (Projected),Date in Service (Projected),Total Capex Cost all funding (£m),Total Capex Cost Publicly Funded (£m),2017/18 (£m),2018/19 (£m),2019/20 (£m),2020/21 (£m), 2021/22 and Beyond (£m),Basis of Costs,Base Year,Data source (including web address),Public Notes, 2017/18 (£m constant), 2018/19 (£m constant), 2019/20 (£m constant), 2020/21 (£m constant), 2021/22 and Beyond (£m constant), 2018/19 to 2020/21 (£m constant), 2018/19 onwards (£m constant), East Midlands 2018/19 to 2020/21 (£m constant), East of England 2018/19 to 2020/21 (£m constant), London 2018/19 to 2020/21 (£m constant), North East 2018/19 to 2020/21 (£m constant), North West 2018/19 to 2020/21 (£m constant), South East 2018/19 to 2020/21 (£m constant), South West 2018/19 to 2020/21 (£m constant), West Midlands 2018/19 to 2020/21 (£m constant), Yorkshire and the Humber 2018/19 to 2020/21 (£m constant)
Communications,Digital economy,Broadband,Active Programme,CityFibre,CityFibre full fibre investment,Programme,Multiple,"On 23 October 2018 CityFibre announced a £2.5bn investment plan, reinforcing its commitment to connect 5m homes to full fibre.",UK,Private,No,Private,2018/19,TBC," 2,500.00 ", -   , -   , -   , -   , -   , -   ,Nominal,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Communications,Digital economy,Broadband,In Construction,Virgin Media,Virgin - Project Lightning,Project,1,Virgin Media will extend its fibre-rich network to approximately four million additional premises over the next five years. This will increase the number of homes and businesses to which Virgin Media can offer services by almost a third; from around half of the country today to nearly 17 million premises by 2020,UK,Private,No,Private,2015,2020," 3,000.00 ", -   , 600.00 , 600.00 , 600.00 , 600.00 , -   ,Nominal,,http://www.virginmedia.com/corporate/media-centre/press-releases/virgin-media-and-liberty-global-announce-largest-investment-in-uks-internet-infrastructure-for-more-than-a-decade.html,, 600.00 , 591.03 , 581.89 , 572.39 , -   ," 1,745.31 "," 1,745.31 ", -   , -   , -   , -   , -   , -   , -   , -   , -   
Communications,Digital economy,Digital Economy,Active Programme,BDUK ,700MHz Clearance Programme ,Programme,Multiple,"Clearance of 700MHz Spectrum for mobile broadband use: We will clear the 700 MHz spectrum by May 2020, ensuring affected TV viewers are given appropriate support to avoid loss of service. We will also provide a Help Scheme for the Programme Makers and Special Events (PMSE) sector to compensate for the loss of spectrum - supporting the departmental objective of improved mobile connectivity.",UK,Central Government,No,Central Government,2016,2020, 529.90 , 529.90 , 101.30 , 161.80 , 153.40 , 67.70 , 17.60 ,Nominal,,,, 101.30 , 159.38 , 148.77 , 64.58 , 16.57 , 372.74 , 389.31 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Communications,Digital economy,Digital Economy,Active Programme,BDUK ,BT Digital Investment,Programme,Multiple,"Investment in Ultra Fast Broadband, Fibre to Premises (FTTP), 4G
",UK,Private,No,Private,2016/17,2019/20," 6,000.00 ", -   ," 1,500.00 "," 1,500.00 "," 1,500.00 ", -   , -   ,Nominal,,,," 1,500.00 "," 1,477.58 "," 1,454.74 ", -   , -   ," 2,932.32 "," 2,932.32 ", -   , -   , -   , -   , -   , -   , -   , -   , -   
Communications,Digital economy,Digital Economy,Active Programme,Various,New Digital Networks delivered by Altnets (alternative network providers),Programme,Multiple,"Private businesses building new digital networks including Fibre to the Premise (FTTP), fixed wireless networks (FWA), hybrid networks and satellite broadband services.",UK,Private,No,Central Government/Private,TBC,2020/21," 1,500.00 ", -   , -   , 500.00 , 500.00 , 500.00 , -   ,Nominal,,,, -   , 492.53 , 484.91 , 476.99 , -   ," 1,454.43 "," 1,454.43 ", -   , -   , -   , -   , -   , -   , -   , -   , -   
Communications,Digital economy,Digital Economy,Active Programme,BDUK ,Superfast Broadband (BDUK),Programme,Multiple,Delivering a world class broadband infrastructure: We will generate access to superfast broadband with speeds of more than 24 Mbps to as many premises as possible beyond 95%. We will enable all premises to have access to speeds of at least 10 Mbps. We will drive the departmental objective of universal access to high speed broadband by 2020.,UK,Central Government,No,Central Government,2012,2020," 2,292.00 "," 1,702.34 ", 182.15 , 143.78 , 108.92 , 85.13 , -   ,Nominal,,https://www.gov.uk/guidance/broadband-delivery-uk,, 182.15 , 141.63 , 105.63 , 81.21 , -   , 328.48 , 328.48 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Communications,Digital economy,Mobile,Active Programme,Various,Mobile network upgrade (4G rollout and coverage improvements),Programme,Multiple,"Upgrade of mobile networks as a result of the release of the so called digital dividend spectrum (800MHz and 2.6 GHz), extended for the agreement in December 2014 that the 4 MNOs would invest £5bn in 4G",UK,Private,No,Central Government/Private,2013,2018/19," 4,000.00 ", 34.90 , 500.00 , -   , -   , -   , -   ,Nominal,,,, 500.00 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Communications,Digital economy,NPIF,Scoping,,Digital Infrastructure Investment Fund ,Programme,Multiple,"A new Digital Infrastructure Investment Fund, at least matched by private finance, to invest in new fibre networks over the next 4 years.",UK,Private,No,Central Government,TBC,TBC, 400.00 , 400.00 , -   , -   , -   , -   , -   ,Constant,2017/18,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Communications,Digital economy,NPIF,Scoping,BDUK,Local Full Fibre Networks Programme,Programme,Multiple,"Stimulating the delivery of Local Full Fibre Network: designed to incentivise and accelerate commercial investment in full fibre broadband networks, by harnessing public sector demand and stimulating private sector demand to reduce financial risk for investors. ",UK,Central Government,No,Central Government,TBC,TBC, 267.00 , 267.00 , -   , -   , -   , -   , -   ,Constant,2017/18,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Communications,Digital economy,NPIF,Scoping,BDUK,Rural full fibre pilot programme,Programme,Multiple,To pilot innovative approaches to deploying full fibre in rural locations,UK,Private,No,Central Government,TBC,TBC, 200.00 , 200.00 , -   , -   , -   , -   , -   ,Constant,2017/18,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
